ID,title,text,label,X1,X2
39,"Covid-19: India sends a team of doctors, medical staff to Kuwait","India on Saturday despatched a team of 15 Indian doctors and healthcare professionals to Kuwait to supplement the efforts of government of Kuwait in the fight against covid-19 pandemic.The despatch of the team was at the request of the Kuwaiti government, a statement from the Indian foriegn ministry said.The medical team is expected to stay in Kuwait for a period of two weeks during which it will render medical assistance in testing and treatment of the afflicted persons and training their personnel, it said.",REAL,,
40,Markets may have to brace for a sharp deterioration in economic activity,"The Indian govt’s stimulus could be at least $13 bn according to market talk which will be largely aimed at small businesses to tide over the coronavirus shutdown.The inflation figures to be announced tomorrow could offer some relief, which could further help reduce interest rates",REAL,,
41,No Lockdown after 15th April says Maharastra CM,In yesterday's meeting CMO has announced the the lockdown will not be extended after 15th April.,FAKE,,
42,Mumbai’s Taj Hotel employees test positive for coronavirus,"While IHCL did not confirm the number of employees who have been affected, it confirmed that these employees have been hospitalized.
Taj Mahal Palace and Tower does not have any guests presently and only minimal staff is present.Some members of Indian Hotels Company Limited (IHCL), which runs the Taj Hotel chain, on Saturday tested positive for covid-19. While IHCL did not confirm the number of employees who have been affected, it confirmed that these employees have been hospitalized.",REAL,,
43,"Eating stuff like garlic, turmeric can save you from getting corona",Some doctors claim that eating food with garlic and other ingredients rich in vitamins may help you save yourself from corona as they increase immunity,FAKE,,
44,People aged between 10-40 are less likely to diagnose with COVID-19,Acrroding to th statistics that have come recently we can confirm that people aged between 10 years to 40 years are more immune to corona,FAKE,,
45,"Indian Railways hiring doctors, para-medics to fight coronavirus","The South Western Railway is hiring more doctors and para-medics to treat Covid-19 patients in Karnataka, according to an official, here on Sunday.""We are hiring 55 doctors and 88 nurses to treat coronavirus patients at our hospitals in Bengaluru, Mysuru and Hubballi,"" the zonal railway official told IANS.Candidates can apply on www.swr.indianrailways.gov.in or walk-in to the zone's divisional offices in the three cities for interview and hiring.""In addition, 3 pharmacists, 3 lab superintendents, 1 X-ray technician and 121 attendants/multi-purpose workers will be hired to fight the pandemic,"" said the official.The hiring done on the contract basis would soon begin at the respective divisional offices, the official added.",REAL,,
46,Suraksha Stores: Govt plans 20 lakh essentials' shops ahead of possible Covid-19 lockdown extension," 

Ahead of extending restrictions on the mobility of goods and persons, the government plans to set up a chain of 20 lakh retail shops called 'Suraksha Stores' across India which will provide daily essentials to citizens while maintaining stringent safety norms.
",REAL,,
47,Wear mask in Ahmedabad or face ₹5000 fine/3-year jail,"From 6 am on Monday, everybody in Ahmedabad city municipal limits will have to wear mask mandatorily when going out in public places.Those found without masks will be fined ₹5,000. Those who fail to deposit the fine will be jailed for three years",REAL,,
48,Immigrant detention numbers decline as COVID-19 spikes and controversial border policies take hold,"After immigrant detention centers saw a spike in coronavirus cases, federal authorities have started reassessing protocols to release some detained immigrants most vulnerable to the disease.

The number of confirmed COVID-19 cases among detained immigrants has spiked from earlier in the week, according to the latest Immigration and Customs Enforcement data. A total of 61 detainees have tested positive as of late Friday, up from six cases confirmed on Monday. ICE also reported Friday that 19 detention center staff members have tested positive.

Two federal courts have ordered the Trump administration to provide updates on detention center conditions for children and families. The judge overseeing a long-standing legal challenge to detention center conditions instructed authorities last month to either release detained families or provide justification for holding them.",REAL,,
49,"Covid-19 to Hit South Asia Very Hard, May Wipe Out Gains Made in Poverty Alleviation: World Bank","the global coronavirus pandemic will hit South Asia very hard and the significant gains made in poverty alleviation in the region are likely to be wiped out due to the impact of the deadly disease, the World Bank warned on Sunday.In its twice-a-year regional update, the bank said that South Asian governments must ramp up action to curb the health emergency, protect their people, especially the poorest and most vulnerable, and set the stage for fast economic recovery.The latest report 'South Asia Economic Focus' anticipates a sharp economic slump in each of the region's eight countries, caused by halting economic activity, collapsing trade, and greater stress in the financial and banking sectors.The COVID-19 pandemic will hit South Asia very hard and the significant gains made in poverty alleviation in the region are likely to be wiped out, the report warned.",REAL,,
50,Vaccines on corona have been found.,Trump claims that vaccines on corona have been found and tested on some volunteers and it has perfectly worket out.,FAKE,,
51,SPPU says all the university exams are cancelled,The vice chancellor has announced that all the exams have been cancelled for all UG/PG students and their previous scores will be considered for final results.,FAKE,,
52,"SPPU exams: First year students may be evaluated on internal assessment, schedule for 2nd, 3rd year after April 14","Savitribai Phule Pune University (SPPU) is chalking out plans for the examinations of first to third year students across the streams after the lockdown announced by the prime minister till April 14. According to the varsity officials, first year students may get relaxation in exams this year, while the exam dates for second and third year students will be announced later.SPPU vice-chancellor Nitin Karmalkar said, “Varsity has given holidays to all its affiliated colleges in Pune, Nashik and Ahmednagar districts because of the lockdown over Covid-19 (coronavirus) disease situation. We had decided to extend SPPU exams till March 31, but have postpone the dates till April 14 because of the lockdown. SPPU has incorporated credit system for undergraduate courses and students’ internal evaluation is going on. Based on this evaluation only we are thinking to give relaxation in exams for first year students.”",REAL,,
53,Covid-19: Brazil President thanks India for ‘timely help’ after nod to hydroxychloroquine,"Brazil’s President Jair Bolsonaro thanked India for the “timely assistance” in the form of nod to exporting ingredients for hydroxychloroquine (HCQ), a medicine which is widely used in treatment of coronavirus disease Covid-19.“As a result of my direct conversation with the Prime Minister of India, we will receive, until Saturday, raw material to continue producing hydroxychloroquine, so that we can treat COVID-19 patients, as well as malaria, lupus and arthritis,” Bolsonaro said in his address to the nation on Wednesday.“I thank Prime Minister Narendra Modi and the Indian people for this very timely assistance to the Brazilian people,” he further said in his address - his fifth since the coronavirus crisis began.",REAL,,
54,Some doctors moving away from ventilators to save coronavirus patients,"As health officials around the world push to get more ventilators to treat coronavirus patients, some doctors are moving away from using the breathing machines when they can.The evolving treatments highlight the fact that doctors are still learning the best way to manage a virus that emerged only months ago. They are relying on anecdotal, REAL-time data amid a crush of patients and shortages of basic supplies.Mechanical ventilators push oxygen into patients whose lungs are failing. Using the machines involves sedating a patient and sticking a tube into the throat. Deaths in such sick patients are common, no matter the reason they need the breathing help.",REAL,,
55,All the grocery shops and vegetable vendors will be closed in maharastra for the next 3 days,CMO says that starting from today midnight all shops and vendors will be closed from 3 days,FAKE,,
56,There is a 5 day rest for lockdown in Maharastra after 15th April says CMO,The CMO has just annouced that 5 day rest will be given and all the shops and transport services will be opened until 20th April 2020.,FAKE,,
57,Odisha to have 2 new Covid-19 hospitals with total capacity of 300 beds,"Odisha is all set to have two new COVID-19 hospitals with a total capacity of 300 beds very soon as a part of its preparedness to tackle the coronavirus pandemic, officials said on Saturday.

The hospitals, for treatment of COVID-19 patients only, will come up in association with National Aluminium Company (NALCO) and Paradip Port Trust (PPT).

While Nalco has come forward to fund an exclusive 200 -bed COVID-19 hospital at Nabarangpur, PPT will set up a 100- bed hospital for treatment of coronavirus patients at the port town of Paradip in Jagatsinghpur district, an official said.",REAL,,
58,FAKE negatives raise doctors' doubts about coronavirus tests,"FAKE-negative results from coronavirus tests are becoming an increasing concern, say doctors trying to diagnose patients and get a grip on the outbreak, as a surprising number of people show up with obvious symptoms only to be told by the tests that they don’t have the disease.

While still more research is necessary to determine the REAL prevalence of such FAKE-negative results, experts agree that the problem is significant. FAKE negatives not only impede the diagnosis of disease in individual patients and an accurate understanding of the extent of its proliferation, but also risk patients who think they aren't ill further spreading the virus.

Some doctors described situations in which patients show up with clear symptoms such as a cough and fever, test negative, and then test positive later on. It’s a particular issue in New York, where the disease has likely infected far more than the 174,000 people confirmed through limited testing. At Jacobi Medical Center in the Bronx, doctor Jeremy Sperling says so-called FAKE-negative tests are now a frequent occurrence in the emergency room.",REAL,,
59,Viral WhatsApp forward of ‘WHO lockdown protocol’ ,"WORLD HEALTH ORGANISATION PROTOCOL&PROCEDURE OF LOCKDOWN PERIODS FOR CONTROLLING ON MOST DANGEROUS VIRUS STEP 1 – 1 DAY. STEP 2- 21 DAYS. AFTER 5 DAYS. STEP 3- 28 DAYS. AFTER 5 DAYS. STEP 4 – 15 DAYS. The sameway, our Indian governments are follow: MAR 22-1 DAY ( TRIAL LOCKDOWN) MAR24-APR14 – 21 DAYS(FIRST LOCKDOWN) APRIL15- APRIL19 – RELAX FROM LOCKDOWN. APR20 – MAY 18 – 28 DAYS(SECOND LOCKDOWN) INCASE,Covid19 patient ratio is Zero Withdraw the LOCKDOWN. Otherwise, May19 – May 24 – Relax from LOCKDOWN. May 25 – June 10 – 15 days (FINAL LOCKDOWN)",FAKE,,
60,Disaster Management Act does not prohibit coronavirus posts on social media,"Tonight 12(midnight) onwards Disaster Management Act has been implemented across the country. According to this update, apart from the Govt department no other citizen is allowed to post any update or share any forward related to Coronavirus, it being punishable offence.**Group Admins are requested to post the above update and inform all in the group.* Stay home ..Stay safe.",FAKE,,
61,government monitoring calls and social media to track political and religious content,"From tomorrow onwards there are new communication regulations. All calls are recorded. All phone call recordings saved. WhatsApp is monitored. Twitter is monitored. Facebook is monitored All social media and forums are monitored. Inform those who do not know. Your devices are connected to ministry systems. Take care not to send unnecessary messages. Inform your children, Relatives and friends about this to take care. Don’t forward any posts or videos etc., you receive regarding politics/present situation about Government/PM etc.​​ Police have put out a notification termed ..Cyber Crime … and action will be taken…just don’t delete … Inform your friends & others too. Writing or forwarding any msg on any political & religious debate is an offence now….arrest without warrant… This is very serious, plz let it be known to all our groups and individual members as group admin can b in deep trouble. Take care not to send unnecessary messages. Inform everyone about this to take care. Please share it; it’s very much REAL. Groups please be careful.",FAKE,,
62,"SAARC and other nations join PM Modi-led effort to switch off lights, light candles","Several foreign missions have come out in support of Prime Minister Narendra Modi’s call of solidarity by switching off lights and lighting up diyas, candles and torches at 9 pm on Sunday night at mission offices and residences of diplomats",FAKE,,
63,More immunity in Indian genes,Our bodies have one of the toughest immune systems in the world. We have grown up surrounded by so much filth and pollution that our natural resilience is much stronger than people in the developed world,FAKE,,
64,Dadar police register case against 52 people for misinformation on coronavirus,"Beware of the following reason. 52 group admins are now at dadar cyber crime police station. For having misleading fowards in the group. My old building group admins are seating there A case is being registered against every admin. U will get bail at police station but have to fight in criminal court with a jail term from 1 to 5 years. No explanation accepted as Admin I did not see it or did not knew the authenticity, or did not knew it was forwarded. So kindly bear it. information All honorable members of the group are informed that right now any post related to Corona virus has been declared a punishable offense by the Central Government, only a government agency can post on Corona. In case of wrong post or message, action will be taken against the members of the entire group including the group administrator by registering a lawsuit under the IT Act, so keep in mind be safe! Ravi Nayak, Principal Secretary, Ministry of Home Affairs, Government of India”",FAKE,,
65,Putin has not left 800 lions on Russian streets to ensure lockdown during COVID-19 pandemic,Vladimir Putin has given Russians two options.You stay at home for 2 weeks or you go to jail for 5years.No middle ground.RUSSIA: Vladimir Putin has Dropped 800 tigers and Lions all over the Country to push people to stay Home.. Stay Safe Everyone!!,FAKE,,
66,"foreign nationals from Italy, Iran were hiding in Patna mosque to avoid coronavirus testing","In Patna’s Kurji, 50 foreign nationals of Iran and Italy suddenly came to this colony. There was panic in the colony due to this. They were staying inside a local mosque. Patna police is investigating.",FAKE,,
67,medicine will be sprayed in the air to kill coronavirus,"Hello i kindly request you not to come out of your house after 10 pm tonight till tomorrow 5 am…As their will be spraying medicine in the air in order to kill the COVID-19!! Share this information to all your friends,relatives and your families. Thank you!",FAKE,,
68,Coronavirus: The children struggling to survive India's lockdown,"The sudden imposition of a 21-day lockdown in India to stop the spread of the coronavirus has thrown the lives of millions of children into chaos.Tens of thousands are calling helplines daily while thousands are going to bed hungry as the country shuts down to battle the pandemic.With 472 million children, India has the largest child population in the world and campaigners say the lockdown has impacted around 40 million children from poor families.These include those working in farms and fields in rural areas, as well as children who work as ragpickers in cities or sell balloons, pens and other knick-knacks at traffic lights.Sanjay Gupta, director of Chetna, a Delhi-based charity that works with child labourers and street children, says the worst affected are the millions of homeless children who live in cities - on streets, under flyovers, or in narrow lanes and bylanes.""During the lockdown everyone has been told to stay home. But what about the street children? Where do they go?"" he asks.According to one estimate, Delhi has more than 70,000 street children. But Mr Gupta says that number is REALly much higher.",REAL,,
69,"Coronavirus disrupting Indian economy, need to contain domestic contagion: World Bank","The World Bank on Sunday said the coronavirus outbreak has severely disrupted the Indian economy, magnifying pre-existing risks to its outlook.In its ""South Asia Economic Update: Impact of COVID-19"", the World Bank estimated the Indian economy to decelerate to 5 per cent in 2020 and projected a sharp growth deceleration in fiscal 2021 to 2.8 per cent in a baseline scenario.The Covid-19 outbreak came at a time when India's economy was already slowing, due to persistent financial sector weaknesses, the report said.To contain it, the government imposed a 'lockdown' with restrictions on mobility of goods and people.""The resulting domestic supply and demand disruptions (on the back of weak external demand) are expected to result in a sharp growth deceleration in FY21 to 2.8 per cent in a baseline scenario (an estimate subject to wide confidence intervals),"" the report said, adding that the services sector will be particularly impacted.A revival in domestic investment is likely to be delayed given enhanced risk aversion on a global scale, and renewed concerns about financial sector resilience.""Growth is expected to rebound to 5.0 per cent in fiscal 2022 as the impact of Covid-19 dissipates, and fiscal and monetary policy support pays off with a lag,"" the report said.In a conference call with reporters, World Bank Chief Economist for South Asia Hans Timmer said India's ""outlook is not good.""And if the domestic lockdown is prolonged, then the economic result can be much worse than what the World Bank has in its baseline range of forecasts.",REAL,,
70,Are there roadblocks in India's fight against the deadly Covid-19,"Has the Tamil Nadu chief secretary let the cat out of the bag? While briefing the media in Chennai on Saturday, after the conclusion of the state cabinet meeting, Tamil Nadu Chief Secretary K Shanmugam said there is a delay in receiving the rapid antibody test kits Tamil Nadu had ordered because the consignment, meant for India, had been diverted to the United States by China.The bureaucrat informed that the state had placed an order of a total of 4 lakh test kits with the Centre, of which 1 lakh was expected from China. Shanmugam said though the production of rapid antibody test kits was limited to China, it had sent one consignment to the USA.This could possibly explain the constant delay in India receiving its order of 5 lakh rapid antibody test kits that it had placed with a Chinese firm on March 28.At least four deadlines for delivery have been missed so far, adding to India's wait for conducting more tests to detect the spread of Covid-19 among its citizens.Rapid antibody tests are quicker and inexpensive alternative to the standard RT-PCR tests being conducted currently in the country.The advisory to start rapid antibody-based blood tests for Covid-19 was issued by the Indian Council of Medical Research (ICMR) on April 4. It authorised for the tests to be conducted in areas reporting clusters (containment zone) and in large migration gatherings/evacuee centres.But the first order for the rapid antibody test kits was placed on March 28, and since then deadlines have only come and gone.Dr Raman Gangakhedkar, Head of Epidemiology at ICMR, told the media on Saturday, ""We are yet to receive the rapid antibody test kits. The supplier has said it will take another 2-3 days.""Due to the delay in the arrival of the first batch of test kits, ICMR is unable to ramp up the order to at least 50 lakh, as has been already internally approved.In fact, as opposed to its initial requirement of 10 lakh test kits, for which it had invited Indian bidders on March 25, it was compelled to revise the order down to 5 lakh after no bidder came forward.This delay is only setting back India in its quest to test more people for coronavirus, which is the only way to accurately determine the size of the Covid-19 outbreak in the country and subsequently curtail it.In fact, on Saturday, in the meeting with Prime Minister Narendra Modi over a videoconference, several chief ministers reiterated their demands for rapid antibody test kits for their respective states.Even in the case of personal protective equipment (PPE) or specialised safety gear for doctors and medical practitioners at the forefront of the battle against Covid-19, delays by the government in placing orders with the 39 domestic manufacturers identified for production, could have placed at risk thousands of healthcare professionals.Reports indicate that some of the orders were placed just as India was going into its three-week nationwide lockdown on March 25. With the lockdown in place, manufacture and supply of PPEs may have disrupted.However, the government has tried to allay fears. Recently, Ministry of Health and Family Welfare Joint Secretary Lav Aggarwal told the media that an order of 1.7 crore PPEs have been placed and supplies have begun. He added that 49,000 ventilators have also been ordered.",REAL,,
71,How the 21-day lockdown can be a turning point for India,"As the world struggles with the coronavirus pandemic, the country coming in for maximum negative coverage — barring China — is perhaps India.However, from all accounts, the advanced nations of the West are faring no better than the lesser-accomplished ones. There are disconcerting reports, both from the USA and the UK, of doctors considering ""universal do-not-resuscitate order"" for Covid-19 patients. In Italy, one hears the medical system is so overwhelmed with a shortage of ICU facilities and critical equipment as ventilators, that they are not able to treat all patients. The biggest casualty being senior citizens, who are also the most vulnerable to contracting the infection.The criticism about India is, not unexpectedly, largely from domestic quarters. With a slight difference that many of the voices — though of Indian origin — are emanating across the pay-walls of international media. India has received flak for an allegedly unplanned countrywide lockdown throwing millions of poor migrant workers to fend for themselves. Government has been held responsible for a shortage of PPEs, masks and testing kits. Low reported numbers of Covid-19 positive cases was attributed to inadequate testing. Claims of community transmission held in check have been debunked, questioning the sanctity of data. Entirely inappropriate parallels have been drawn with South Korea and Singapore, which are both smaller in size, with far higher per capita GDP and a more disciplined population to boot. It is another matter that these countries have slipped back into regression on the Covid-19 recovery graph. Finally, the two ""events"" of Janata Curfew and 9-pm-9-minutes lights out and candle vigil has been cynically dismissed as theatrics at best and superstition at worst. However, a slightly more objective analysis would indicate that we are, arguably, being less than charitable towards the Indian government. ",REAL,,
72,"No evidence of community transmission yet, repeats government","The government on Friday once again reiterated that it has found no evidence yet of any community transmission in India and that the rate of infection remains low with just 2% of 16,002 samples tested on Thursday testing positive.It also, once again, gave an assurance that the public would be informed if the coronavirus outbreak reached Stage 3 spread.Responding to media reports that a study by the government-controlled ICMR based on random sampling tests conducted on patients with Severe Acute Respiratory Illnesses (SARI) indicated community transmission, Lav Agarwal, joint secretary in the health ministry, said that the report dealt with studies conducted in areas where prevalence of the disease was detected and not in new areas and that the positive rate revealed by the report was 1.8%.‘Infection rate not high, yet dynamic’At least 16,002 samples were tested on Thursday, of which only 320, or 2%, tested positive for Covid-19. Based on the samples collected, we can say that the infection rate is not high, although it is dynamic,” Lav Agarwal, joint secretary in the health ministry, said even as he emphasised the need for social distancing.Referring to the ICMR study that shows 40% of SARI cases had not reported travel or contact history, Agrawal said the conclusions cannot be inferred as community transmission because the tests were conducted in areas where there were Covid-19 cases and people are often not able to recall exact events. “This needs further investigation,” he said.Government experts said even a higher incidence of the disease in an area or clusters does not necessarily add up to community transmission. Several clusters in an area or a city with rapidly multiplying cases and transmission between them amount to community transmission at stage 3.",REAL,,
73,India home quarantine families face discrimination,"India has quarantined tens of thousands of people in their homes. But some of the measures designed to keep them inside - like the signs posted outside their houses and releasing their personal data - have led to unintended, and unpleasant, consequences. The BBC's Vikas Pandey reports.Bharat Dhingra's family of six have been in ""home quarantine"" in India's capital, Delhi, since his brother and sister-in-law returned from the US on 22 March.Neither have displayed any symptoms, but the entire family followed government advice and self-quarantined.Then officials posted a sticker outside their houses that read: ""Do not visit. Home under quarantine"".It was supposed to ensure people abided by the rules. But for people like Mr Dhingra - who was already diligently following the rules - the sign has caused ""stress and psychological pressure"".""Our house has become like a zoo,"" he told the BBC. ""People stop to take pictures when they pass by. Our neighbours tell us to go inside even when we step out into our balcony for a minute.""We also understand that the houses that are in quarantine need to be marked for awareness,"" he acknowledged. ""Government officials have been very nice to us, but it's the attitude of some people that hurts.""Some people shared the picture of our house in local WhatsApp groups as a warning.""He said it violated his family's privacy.""People need to REALise that home quarantine is a precautionary measure - it doesn't mean we are infected, but let's say even if we are, we don't need to be ostracised for it.""The BBC spoke to several people across the country who have had similar experiences.One couple, who did not wish to be identified, said that their home in Noida - a suburb of Delhi - had become ""a place of horror for many"".",REAL,,
